"state","year","ndp"
"Andhra Pradesh","y0607","33135.049680"
"Arunachal Pradesh","y0607","30000.239044"
"Assam","y0607","19737.000000"
"Bihar","y0607","9967.000000"
"Jharkhand","y0607","19789.000000"
"Goa","y0607","94881.582644"
"Gujarat","y0607","43395.000000"
"Haryana","y0607","49261.126904"
"Himachal Pradesh","y0607","40393.000000"
"Jammu and Kashmir","y0607","25059.000000"
"Karnataka","y0607","35980.577863"
"Kerala","y0607","40419.000000"
"Madhya Pradesh","y0607","19027.697375"
"Chhattisgarh","y0607","24799.877131"
"Maharashtra","y0607","49830.714231"
"Manipur","y0607","21418.573875"
"Meghalaya","y0607","30952.000000"
"Mizoram","y0607","28764.000000"
"Nagaland","y0607","36567.500000"
"Odisha","y0607","22237.000000"
"Punjab","y0607","41883.000000"
"Rajasthan","y0607","24054.877603"
"Sikkim","y0607","32198.714423"
"Tamil Nadu","y0607","42288.000000"
"Tripura","y0607","29081.031469"
"Uttar Pradesh","y0607","16012.894297"
"Uttarakhand","y0607","35110.650188"
"West Bengal","y0607","27823.000000"
"Andaman and Nicobar","y0607","53778.000000"
"Chandigarh","y0607","97568.281938"
"NCT of Delhi","y0607","83275.000000"
"Puducherry","y0607","68673.000000"
"Andhra Pradesh","y0708","39726.819340"
"Arunachal Pradesh","y0708","34351.909587"
"Assam","y0708","21290.000000"
"Bihar","y0708","11051.000000"
"Jharkhand","y0708","24789.000000"
"Goa","y0708","108708.421338"
"Gujarat","y0708","50016.000000"
"Haryana","y0708","56916.027003"
"Himachal Pradesh","y0708","43966.000000"
"Jammu and Kashmir","y0708","27448.000000"
"Karnataka","y0708","42419.256039"
"Kerala","y0708","45700.000000"
"Madhya Pradesh","y0708","20935.272317"
"Chhattisgarh","y0708","29384.681458"
"Maharashtra","y0708","57759.760517"
"Manipur","y0708","23093.341987"
"Meghalaya","y0708","34229.000000"
"Mizoram","y0708","32488.000000"
"Nagaland","y0708","39984.759358"
"Odisha","y0708","27735.000000"
"Punjab","y0708","49380.000000"
"Rajasthan","y0708","26881.665808"
"Sikkim","y0708","36447.838950"
"Tamil Nadu","y0708","47606.000000"
"Tripura","y0708","31111.370178"
"Uttar Pradesh","y0708","17785.393407"
"Uttarakhand","y0708","42618.516559"
"West Bengal","y0708","31567.000000"
"Andaman and Nicobar","y0708","61430.000000"
"Chandigarh","y0708","102979.699248"
"NCT of Delhi","y0708","95241.000000"
"Puducherry","y0708","74201.000000"
"Andhra Pradesh","y0809","46344.945570"
"Arunachal Pradesh","y0809","39655.758963"
"Assam","y0809","24099.160005"
"Bihar","y0809","13728.000000"
"Jharkhand","y0809","25046.000000"
"Goa","y0809","135965.616880"
"Gujarat","y0809","55068.000000"
"Haryana","y0809","67387.991812"
"Himachal Pradesh","y0809","49903.000000"
"Jammu and Kashmir","y0809","30212.000000"
"Karnataka","y0809","48083.646750"
"Kerala","y0809","53046.000000"
"Madhya Pradesh","y0809","25278.413608"
"Chhattisgarh","y0809","34360.464730"
"Maharashtra","y0809","62234.281850"
"Manipur","y0809","24773.258427"
"Meghalaya","y0809","40583.000000"
"Mizoram","y0809","38582.000000"
"Nagaland","y0809","46206.522883"
"Odisha","y0809","31416.000000"
"Punjab","y0809","55315.000000"
"Rajasthan","y0809","31278.925893"
"Sikkim","y0809","46983.219151"
"Tamil Nadu","y0809","54137.000000"
"Tripura","y0809","35587.000000"
"Uttar Pradesh","y0809","20422.274275"
"Uttarakhand","y0809","50657.372095"
"West Bengal","y0809","35487.000000"
"Andaman and Nicobar","y0809","69177.000000"
"Chandigarh","y0809","108485.714286"
"NCT of Delhi","y0809","111756.000000"
"Puducherry","y0809","79306.000000"
"Andhra Pradesh","y0910","52814.037227"
"Arunachal Pradesh","y0910","48661.791045"
"Assam","y0910","27464.472520"
"Bihar","y0910","15548.000000"
"Jharkhand","y0910","28223.427831"
"Goa","y0910","149164.000000"
"Gujarat","y0910","63549.000000"
"Haryana","y0910","82024.025112"
"Himachal Pradesh","y0910","58798.229603"
"Jammu and Kashmir","y0910","33648.000000"
"Karnataka","y0910","51385.953154"
"Kerala","y0910","60264.000000"
"Madhya Pradesh","y0910","28711.521351"
"Chhattisgarh","y0910","35120.557243"
"Maharashtra","y0910","71300.267909"
"Manipur","y0910","27331.667157"
"Meghalaya","y0910","43142.000000"
"Mizoram","y0910","42715.000000"
"Nagaland","y0910","50209.000000"
"Odisha","y0910","34361.000000"
"Punjab","y0910","61894.152313"
"Rajasthan","y0910","34981.580644"
"Sikkim","y0910","90749.272535"
"Tamil Nadu","y0910","64336.000000"
"Tripura","y0910","39949.000000"
"Uttar Pradesh","y0910","23661.000000"
"Uttarakhand","y0910","62885.239171"
"West Bengal","y0910","41045.000000"
"Andaman and Nicobar","y0910","79396.000000"
"Chandigarh","y0910","117371.215511"
"NCT of Delhi","y0910","129746.000000"
"Puducherry","y0910","88158.000000"
"Andhra Pradesh","y1011","62911.774809"
"Arunachal Pradesh","y1011","55789.473684"
"Assam","y1011","30569.154718"
"Bihar","y1011","18928.000000"
"Jharkhand","y1011","31993.388298"
"Goa","y1011","159244.000000"
"Gujarat","y1011","75115.000000"
"Haryana","y1011","94464.087851"
"Himachal Pradesh","y1011","68020.113792"
"Jammu and Kashmir","y1011","37593.000000"
"Karnataka","y1011","59975.065137"
"Kerala","y1011","71434.000000"
"Madhya Pradesh","y1011","32252.633413"
"Chhattisgarh","y1011","41167.059905"
"Maharashtra","y1011","87686.072212"
"Manipur","y1011","29683.658009"
"Meghalaya","y1011","47164.000000"
"Mizoram","y1011","48591.000000"
"Nagaland","y1011","52965.613856"
"Odisha","y1011","40412.000000"
"Punjab","y1011","68998.067783"
"Rajasthan","y1011","42433.803186"
"Sikkim","y1011","104506.038416"
"Tamil Nadu","y1011","75449.000000"
"Tripura","y1011","44965.000000"
"Uttar Pradesh","y1011","26903.000000"
"Uttarakhand","y1011","72092.918563"
"West Bengal","y1011","47738.000000"
"Andaman and Nicobar","y1011","85741.000000"
"Chandigarh","y1011","130461.099366"
"NCT of Delhi","y1011","150653.000000"
"Puducherry","y1011","98719.000000"
